10 10
1
1 0
26
104 289 -1
104 326 -1
104 252 -1
67 326 -1
141 252 -1
67 289 -1
104 363 -1
30 289 -1
141 326 -1
141 215 -1
104 215 -1
67 215 -1
67 252 -1
30 252 -1
141 363 -1
141 289 -1
30 215 -1
141 178 -1
30 178 -1
178 326 -1
215 326 -1
30 141 -1
178 178 0
178 363 -1
215 363 -1
67 363 -1
104 289 104 326
104 289 104 252
104 326 67 326
104 326 104 289
67 326 104 326
104 252 141 252
104 289 67 289
141 252 104 252
104 252 104 289
104 326 104 363
67 289 30 289
104 363 104 326
104 326 141 326
141 252 141 215
104 252 104 215
104 215 67 215
67 215 67 252
30 289 30 252
30 289 67 289
104 215 141 215
67 252 67 289
104 363 141 363
104 289 141 289
30 252 30 215
141 215 141 178
30 252 67 252
30 215 30 178
67 289 104 289
141 326 178 326
141 326 104 326
178 326 215 326
30 178 30 141
141 178 178 178
141 326 141 363
141 363 178 363
215 326 215 363
141 215 104 215
67 326 67 363
30 252 30 289
67 215 104 215
141 289 141 326
